indroea,lugar,comentario,serv,suprest,suprcnc,hoja_id,alti,altimax,naa,naam,naai,num_cuenca,muni_id,xutm,yutm,xutm30,yutm30,long,lat,longwgs84,latwgs84,observ1,xetrs89,yetrs89,cod_saih,demarcacion
1367,ARGAME                             ,,1,897,923,52,133.0,,6,6,0,1165,33038,266498,4798311,266498,4798311,-55243,431802,-55248,431758,"FALTA FIABILIDAD EN CURVA DE GASTO, NO SE PUBLICAN Q PARA TODAS LAS H                               ",266389,4798106,A061,CANTABRICO
1368,GRULLOS                            ,,1,2884,4866,28,34.0,,6,6,0,1176,33010,738201,4813173,252562,4813506,-60325,432558,-60330,432554,"FALTA FIABILIDAD EN CURVA DE GASTO, NO SE PUBLICAN Q PARA TODAS LAS H                               ",252453,4813301,Q102,CANTABRICO
1369,PARTEAYER                          ,INT 2014                                                              ,0,893,923,52,158.0,,58,63,1,1165,33038,266766,4796485,266773,4796507,-55228,431704,-55233,431700,DATOS MODIFICADOS 2007-08 (ANUARIO 13-14)                                                           ,266664,4796303,A607,CANTABRICO
1375,TRUBIA                             ,,1,479,484,28,94.0,,8,8,0,1169,33044,258266,4803093,258266,4803093,-55855,432028,-55901,432024,"POR FALTA DE FIABILIDAD EN CURVA DE GASTO, NO SE PUBLICA Q, SOLO H                                  ",258157,4802888,A620,CANTABRICO
1376,TRUBIA (DESEMBOCADURA)             ,,1,484,484,29,,,6,6,0,1169,33044,259508,4804074,259508,4804074,-55802,432101,-55807,432057,"POR FALTA DE FIABILIDAD EN CURVA DE GASTO, NO SE PUBLICA Q, SOLO H                                  ",259399,4803869,A624,CANTABRICO
1378,GRADO                              ,,1,210,214,28,56.0,1454.0,53,53,16,1175,33026,737726,4808327,251740,4808706,-60354,432322,-60359,432318,"FALTA FIABILIDAD EN CURVA DE GASTO, NO SE PUBLICAN Q PARA TODAS LAS H                               ",251631,4808501,A608,CANTABRICO
1395,TREVIAS                            ,,1,411,467,12,35.0,1291.0,51,51,30,1200,33034,707379,4819933,222300,4822470,-62606,433010,-62611,433006,,222190,4822266,A609,CANTABRICO
1398,LUARCA                             ,,1,82,89,11,15.0,1003.0,49,48,16,1202,33034,699312,4822832,214460,4825945,-63201,433152,-63206,433148,"FALTA FIABILIDAD EN CURVA DE GASTO, NO SE PUBLICAN Q PARA TODAS LAS H                               ",214350,4825741,A053,CANTABRICO
1402,VALLO                              ,,1,80,121,99,478.0,1900.0,27,27,12,1207,27034,664602,4751179,174673,4756913,-65903,425341,-65908,425337,,174563,4756707,A050,CANTABRICO
1404,SAN ANTOLIN                        ,,1,294,389,74,262.0,1987.0,50,48,8,1217,33028,673142,4769386,184500,4774480,-65226,430324,-65231,430320,"FALTA FIABILIDAD EN CURVA DE GASTO, NO SE PUBLICAN Q PARA TODAS LAS H                               ",184390,4774274,A610,CANTABRICO
1406,SALIME (E.)                        ,INT 1969                                                              ,0,1766,2572,50,191.0,1987.0,12,12,0,1222,33001,674898,4789518,187695,4794451,-65046,431415,-65051,431411,,187585,4794246,A611,CANTABRICO
1408,DOIRAS (E.)                        ,INT 1969                                                              ,0,2289,2572,26,94.0,1987.0,24,24,1,1232,33007,676309,4806171,190301,4810974,-64924,432313,-64929,432309,A PARTIR DE 1969 LOS DATOS DE CAUDAL SON LAS SALIDAS DEL EMBALSE                                    ,190190,4810769,A612,CANTABRICO
1414,SUEIRO                             ,,1,123,144,10,32.0,,44,43,25,1236,33023,671718,4821912,186852,4827017,-65230,433147,-65235,433143,"FALTA FIABILIDAD EN CURVA DE GASTO, NO SE PUBLICAN Q PARA TODAS LAS H                               ",186741,4826812,A613,CANTABRICO
1424,RIBEIRA DE PIQUIN                  ,,1,346,819,48,241.0,1111.0,14,14,2,1240,27053,646476,4782543,158818,4789527,-71152,431050,-71157,431046,,158707,4789322,A047,CANTABRICO
1425,PONTENOVA                          ,INT 2009                                                              ,0,572,819,24,23.0,1111.0,41,41,3,1240,27048,646651,4801223,160334,4808168,-71126,432056,-71132,432051,,160223,4807963,A500,CANTABRICO
